Agency,Posting Type,NUmber Of Positions,Business Title,Civil Service Title,Title Classification,Job Category,Time Indicator,Career Level,Salary Range From,Salary Range To,Salary Frequency
DEPARTMENT OF BUSINESS SERV.,Internal,1,"Chief Information Officer, Financial Management & Administration Division",PROJECT MANAGER (DBS),Non-Competitive-5,"Technology, Data & Innovation",F,Executive,106729,241434,Annual
HRA/DEPT OF SOCIAL SERVICES,External,1,SNAP EMPLOYMENT INITIATIVE ANALYST,ASSOCIATE STAFF ANALYST,Competitive-1,"Policy, Research & Analysis Social Services",F,Experienced (non-manager),70611,105138,Annual
OFFICE OF MANAGEMENT & BUDGET,External,1,Supervising Analyst / Unit Head  Labor Contract Analysis,BUDGET ANALYST (OMB),Pending Classification-2,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Manager,83399,103307,Annual
CAMPAIGN FINANCE BOARD,Internal,13,AUDITOR (12 POSITIONS),ANALYST CFB AL 2&3 ONLY,Pending Classification-2,"Finance, Accounting, & Procurement",F,Entry-Level,60000,60000,Annual
DEPARTMENT OF TRANSPORTATION,Internal,1,Finance Manager,ADMINISTRATIVE STAFF ANALYST (,Competitive-1,"Constituent Services & Community Programs Finance, Accounting, & Procurement",F,Experienced (non-manager),84451,113550,Annual
DEPARTMENT OF TRANSPORTATION,Internal,1,Project Manager,CITY PLANNER,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),65208,95993,Annual
DEPARTMENT OF TRANSPORTATION,Internal,1,Assistant Transportation Specialist,ASSISTANT TRANSPORTATION SPECI,Competitive-1,"Constituent Services & Community Programs Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),49328,72571,Annual
ADMIN FOR CHILDREN'S SVCS,Internal,2,CoQI Facilitator,CHILD WELFARE SPECIALIST SUPER,Competitive-1,"Policy, Research & Analysis Social Services",F,Experienced (non-manager),81126,84646,Annual
DEPT OF ENVIRONMENT PROTECTION,Internal,1,BLA Office Assistant,CLERICAL ASSOCIATE,Competitive-1,Administration & Human Resources Legal Affairs,F,Experienced (non-manager),40017,62820,Annual
MAYORS OFFICE OF CONTRACT SVCS,Internal,1,Silver Stars HR Analyst,RESEARCH PROJECTS COORDINATOR,Pending Classification-2,Administration & Human Resources,P,Entry-Level,33000,33000,Annual
HOUSING PRESERVATION & DVLPMNT,External,1,Appeals Unit Agency Attorney,AGENCY ATTORNEY,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),63228,72712,Annual
DEPT OF CITYWIDE ADMIN SVCS,Internal,6,City Custodial Assistant,CITY CUSTODIAL ASSISTANT,Labor-3,Building Operations & Maintenance,F,Entry-Level,32260,36915,Annual
LAW DEPARTMENT,Internal,1,PARALEGAL AIDE - LEVEL 2,PARALEGAL AIDE,Competitive-1,Constituent Services & Community Programs Legal Affairs,F,Experienced (non-manager),41939,58688,Annual
LAW DEPARTMENT,Internal,1,PARALEGAL AIDE - LEVEL 2,PARALEGAL AIDE,Competitive-1,Constituent Services & Community Programs Legal Affairs,F,Experienced (non-manager),41939,58688,Annual
DEPT OF DESIGN & CONSTRUCTION,Internal,1,Contract Manager,PROCUREMENT ANALYST,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),50972,66000,Annual
OFFICE OF MANAGEMENT & BUDGET,Internal,1,Supervising Analyst  OTI,BUDGET ANALYST (OMB),Pending Classification-2,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Experienced (non-manager),78232,83399,Annual
ADMIN FOR CHILDREN'S SVCS,External,1,Special Assistant,CLERICAL ASSOCIATE,Competitive-1,Social Services,F,Experienced (non-manager),40017,46019,Annual
DEPARTMENT OF BUSINESS SERV.,External,1,WORKFORCE SYSTEMS REPORTING & DEVELOPMENT MANAGER,COMPUTER ASSOC (OPERATIONS),Competitive-1,"Constituent Services & Community Programs Technology, Data & Innovation Policy, Research & Analysis",F,Experienced (non-manager),33.6453,50.1308,Hourly
DEPARTMENT OF TRANSPORTATION,Internal,2,Traffic Control Inspector,TRAFFIC CONTROL INSPECTOR,Competitive-1,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),45210,63880,Annual
DEPT OF HEALTH/MENTAL HYGIENE,External,1,"Referral Coordinator, Bureau of Children, Youth, and Families",PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,Health,F,Experienced (non-manager),47418,54531,Annual
CAMPAIGN FINANCE BOARD,External,1,PERSONNEL OFFICER (PART-TIME),ADMIN ASST-CAMPAIGN FIN BOARD,Pending Classification-2,Administration & Human Resources,P,Entry-Level,27,33,Hourly
DEPT OF HEALTH/MENTAL HYGIENE,External,2,"Social Worker (Nurse Family Partnership, NFP), Bureau of Maternal Infant and Reproductive Health",SOCIAL WORKER,Competitive-1,Constituent Services & Community Programs Health Social Services,F,Experienced (non-manager),51079,70000,Annual
DEPT. OF HOMELESS SERVICES,External,2,CRISSIS COORDINATOR,COMMUNITY COORDINATOR,Non-Competitive-5,Social Services,F,Experienced (non-manager),54100,83981,Annual
HRA/DEPT OF SOCIAL SERVICES,Internal,1,SPECIAL COUNSEL TO THE GENERAL COUNSEL,EXECUTIVE AGENCY COUNSEL,Non-Competitive-5,Legal Affairs,F,Manager,72038,192152,Annual
LAW DEPARTMENT,Internal,1,COMPUTER SERVICE TECHNICIAN,COMPUTER SERVICE TECHNICIAN (C,Competitive-1,"Technology, Data & Innovation",P,Entry-Level,24.3043,27.9502,Hourly
DEPARTMENT OF TRANSPORTATION,External,1,Personnel Coordinator,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,Administration & Human Resources,F,Experienced (non-manager),58695,89699,Annual
HRA/DEPT OF SOCIAL SERVICES,Internal,1,"DIRECTOR, HR RECORDS MANAGEMENT AND SUPPORT SERVICES",ADMINISTRATIVE STAFF ANALYST (,Competitive-1,Administration & Human Resources,F,Experienced (non-manager),94715,117000,Annual
NYC HOUSING AUTHORITY,External,1,Board Committee Meeting Coordinator,SECRETARY TO MEMBER (HA),Non-Competitive-5,Administration & Human Resources,F,Experienced (non-manager),52501,71564,Annual
NYC HOUSING AUTHORITY,Internal,1,Analysis and Reporting Analyst,ECONOMIST,Competitive-1,"Policy, Research & Analysis",F,Experienced (non-manager),59422,92758,Annual
DEPT OF CITYWIDE ADMIN SVCS,Internal,1,"Engineer, Clean Energy",ENVIRONMENTAL ENGINEER,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),90114,103631,Annual
DEPT OF YOUTH & COMM DEV SRVS,External,1,Program Manager,COMMUNITY COORDINATOR,Non-Competitive-5,Constituent Services & Community Programs,F,Experienced (non-manager),54100,83981,Annual
DEPARTMENT OF CORRECTION,External,1,Senior Strategy Coordinator,DIRECTOR OF CORRECTIONAL STAND,Non-Competitive-5,"Policy, Research & Analysis",F,Manager,115000,130000,Annual
DEPARTMENT OF BUSINESS SERV.,External,1,Senior Policy Advisor,ADMINISTRATIVE STAFF ANALYST (,Competitive-1,Communications & Intergovernmental Affairs,F,Experienced (non-manager),84451,113550,Annual
TAXI & LIMOUSINE COMMISSION,External,1,Assistant FOIL Officer,CLERICAL ASSOCIATE,Competitive-1,Legal Affairs,F,Experienced (non-manager),36390,58953,Annual
ADMIN FOR CHILDREN'S SVCS,External,1,Operations Manager,ADMINISTRATIVE DIRECTOR OF RES,Competitive-1,"Public Safety, Inspections, & Enforcement Social Services",F,Experienced (non-manager),58700,100521,Annual
DEPT OF ENVIRONMENT PROTECTION,External,1,PAYMENT SPECIALIST,PROCUREMENT ANALYST,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),50972,82730,Annual
TAXI & LIMOUSINE COMMISSION,External,1,Data Engineer,TRANSPORTATION SPECIALIST,Competitive-1,"Policy, Research & Analysis",F,Experienced (non-manager),57078,80000,Annual
NYC EMPLOYEES RETIREMENT SYS,External,1,COMPUTER SPECIALIST (SOFTWARE),COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),92194,119610,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Application Support Specialist, Bureau of IT Strategy and Project Management",CYBER SECURITY ANALYST,Competitive-1,Health,F,Experienced (non-manager),78795,94244,Annual
OFFICE OF THE COMPTROLLER,Internal,1,Senior Financial Research and Reporting Analyst (Accountancy),BUDGET ANALYST (COMPTROLLER),Pending Classification-2,"Finance, Accounting, & Procurement",F,Experienced (non-manager),80000,95000,Annual
DEPT. OF HOMELESS SERVICES,Internal,1,PAINTER,PAINTER,Competitive-1,Building Operations & Maintenance Social Services,F,Experienced (non-manager),315.07,315.07,Daily
ADMIN TRIALS AND HEARINGS,External,12,Hearing Officer,HEARING OFFICER (PER SESSION),Non-Competitive-5,Legal Affairs,P,Experienced (non-manager),53.78,57.99,Hourly
DEPT OF ENVIRONMENT PROTECTION,External,1,GIS and Program Analyst,CITY RESEARCH SCIENTIST,Non-Competitive-5,"Constituent Services & Community Programs Engineering, Architecture, & Planning Technology, Data & Innovation Policy, Research & Analysis",F,Entry-Level,64140,77609,Annual
FIRE DEPARTMENT,Internal,1,Agency Attorney,AGENCY ATTORNEY,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),79620,117541,Annual
ADMIN FOR CHILDREN'S SVCS,External,1,Associate Youth Development Specialist,ASSOCIATE YOUTH DEVELOPMENT SP,Competitive-1,Social Services,F,Experienced (non-manager),63717,72670,Annual
HRA/DEPT OF SOCIAL SERVICES,Internal,1,SENIOR PROCUREMENT AND CONTRACT ANALYST,ASSOCIATE STAFF ANALYST,Competitive-1,"Administration & Human Resources Policy, Research & Analysis Social Services",F,Experienced (non-manager),70611,86887,Annual
DEPT OF YOUTH & COMM DEV SRVS,Internal,1,Associate Contract Specialist,ASSOCIATE CONTRACT SPECIALIST,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),60193,90704,Annual
NYC HOUSING AUTHORITY,External,1,Press Secretary,SENIOR INTERGROUP RELATIONS OF,Non-Competitive-5,Communications & Intergovernmental Affairs,F,Experienced (non-manager),37846,59848,Annual
DEPARTMENT OF CORRECTION,Internal,2,Operations Research Analyst,CITY RESEARCH SCIENTIST,Non-Competitive-5,"Policy, Research & Analysis",F,Experienced (non-manager),84468,97138,Annual
HOUSING PRESERVATION & DVLPMNT,External,1,Administrative Assistant the Division of Asset Management,COMMUNITY COORDINATOR,Non-Competitive-5,Constituent Services & Community Programs,F,Experienced (non-manager),54100,62215,Annual
DEPT. OF HOMELESS SERVICES,External,1,PRINCIPAL ADMINISTRATIVE ASSOCIATE II,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,Administration & Human Resources Social Services,F,Experienced (non-manager),53057,77124,Annual
DEPT OF YOUTH & COMM DEV SRVS,Internal,1,Program Manager,ASSOCIATE CONTRACT SPECIALIST,Competitive-1,Constituent Services & Community Programs Social Services,F,Experienced (non-manager),60193,80000,Annual
DEPT OF HEALTH/MENTAL HYGIENE,External,4,Forensic Mortuary Technician I,FORENSIC MORTUARY TECHNICIAN,Competitive-1,Health,F,Experienced (non-manager),43074,49535,Annual
DEPARTMENT OF CORRECTION,Internal,3,Evidence Collection Technician,CORRECTIONAL STANDARDS REVIEW,Non-Competitive-5,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),49449,56866,Annual
TAXI & LIMOUSINE COMMISSION,Internal,1,Payroll Manager,ASSOCIATE STAFF ANALYST,Competitive-1,Administration & Human Resources,F,Experienced (non-manager),70611,105138,Annual
ADMIN TRIALS AND HEARINGS,External,1,Data Analyst,STATISTICIAN,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),50291,57835,Annual
TAXI & LIMOUSINE COMMISSION,Internal,1,"Special Assistant to the General Counsel, Legal Records Manager",ASSOCIATE PUBLIC RECORDS OFFIC,Competitive-1,"Legal Affairs Policy, Research & Analysis",F,Experienced (non-manager),61469,83000,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Borough Director,  Bureau of Childcare",ADMINISTRATIVE PUBLIC HEALTH S,Competitive-1,"Health Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),58700,105000,Annual
NYC HOUSING AUTHORITY,Internal,1,Plumber,PLUMBER,Competitive-1,Building Operations & Maintenance,F,Experienced (non-manager),52.79,52.79,Hourly
DEPARTMENT OF TRANSPORTATION,External,2,Operations Associate,COMMUNITY COORDINATOR,Non-Competitive-5,Constituent Services & Community Programs,F,Experienced (non-manager),54100,83981,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Data Analyst, Center for Health Equity and Community Wellness",CITY RESEARCH SCIENTIST,Non-Competitive-5,"Health Policy, Research & Analysis",F,Experienced (non-manager),64140,70554,Annual
DEPARTMENT OF CORRECTION,Internal,1,Motor Vehicle Supervisor,MOTOR VEHICLE SUPERVISOR,Competitive-1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),50414,57976,Annual
POLICE DEPARTMENT,Internal,1,Police Administrative Aide,POLICE ADMINISTRATIVE AIDE,Competitive-1,Administration & Human Resources,F,Experienced (non-manager),36390,55228,Annual
FINANCIAL INFO SVCS AGENCY,Internal,1,LINUX SYSTEMS ADMINISTRATOR,IT INFRASTRUCTURE ENGINEER,Non-Competitive-5,"Technology, Data & Innovation",F,Experienced (non-manager),110000,140000,Annual
OFF OF PAYROLL ADMINISTRATION,Internal,1,Manual Tester,COMPUTER SYSTEMS MANAGER,Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),58700,105000,Annual
CIVILIAN COMPLAINT REVIEW BD,Internal,2,Investigator â Racial Profiling and Biased Policing,INVESTIGATOR (CCRB),Non-Competitive-5,"Legal Affairs Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),60213,89822,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,10,"Public Health Inspector, Food Safety and Community Sanitation",PUBLIC HEALTH SANITARIAN,Competitive-1,"Public Safety, Inspections, & Enforcement",F,Entry-Level,45722,52580,Annual
DEPT OF ENVIRONMENT PROTECTION,External,1,"SECTION MANAGER, STRUCTURAL",ADMINISTRATIVE ENGINEER,Competitive-1,"Engineering, Architecture, & Planning",F,Manager,72038,192152,Annual
OFFICE OF THE COMPTROLLER,Internal,1,.NET Developer,CERT IT DEVELOPER (APP),Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),100000,125000,Annual
DEPARTMENT OF CORRECTION,Internal,1,Deputy General Counsel,EXECUTIVE AGENCY COUNSEL,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),120000,150000,Annual
DEPT OF ENVIRONMENT PROTECTION,External,1,Assistant Commissioner Organizational Development & Human Resources,EXECUTIVE AGENCY COUNSEL,Non-Competitive-5,Administration & Human Resources Legal Affairs,F,Manager,80931,195000,Annual
FIRE DEPARTMENT,Internal,1,Medical records and Medical Review Board PAA,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,Administration & Human Resources Health,F,Experienced (non-manager),47418,69462,Annual
DEPT. OF HOMELESS SERVICES,External,1,FAMILY WORKER,FRAUD INVESTIGATOR,Competitive-1,"Public Safety, Inspections, & Enforcement Social Services",F,Experienced (non-manager),51079,80478,Annual
DEPARTMENT OF TRANSPORTATION,Internal,2,TEAM LEADER,CIVIL ENGINEER,Competitive-1,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),90114,122168,Annual
HRA/DEPT OF SOCIAL SERVICES,Internal,37,MEDICAID ELIGIBILITY SPECIALIST,ELIGIBILITY SPECIALIST,Competitive-1,Administration & Human Resources Social Services,F,Experienced (non-manager),37748,57043,Annual
DEPARTMENT OF CORRECTION,Internal,14,Assistant General Counsel,AGENCY ATTORNEY,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),79620,91563,Annual
DEPARTMENT OF CORRECTION,Internal,14,Assistant General Counsel,AGENCY ATTORNEY,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),79620,91563,Annual
BRONX DISTRICT ATTORNEY,Internal,1,Assistant District Attorney -  Civil Litigation Bureau,ASSISTANT DISTRICT ATTORNEY (S,Exempt-4,"Legal Affairs Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),100000,100000,Annual
OFFICE OF MANAGEMENT & BUDGET,Internal,1,Analyst  Grant Monitoring,BUDGET ANALYST (OMB),Pending Classification-2,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Experienced (non-manager),65604,83399,Annual
ADMIN FOR CHILDREN'S SVCS,External,1,Paralegal,PARALEGAL AIDE,Competitive-1,Legal Affairs,F,Experienced (non-manager),37611,43253,Annual
ADMIN FOR CHILDREN'S SVCS,External,1,Senior Research Analyst,CITY RESEARCH SCIENTIST,Non-Competitive-5,"Policy, Research & Analysis Social Services",F,Experienced (non-manager),84468,97138,Annual
HOUSING PRESERVATION & DVLPMNT,Internal,2,Strategic Program Development Analyst for the Division of Housing Opportunity and Program Services,CITY RESEARCH SCIENTIST,Non-Competitive-5,Constituent Services & Community Programs,F,Experienced (non-manager),75504,86830,Annual
NYC POLICE PENSION FUND,External,1,Director of Procurement,AGENCY CHIEF CONTRACTING OFFIC,Non-Competitive-5,"Finance, Accounting, & Procurement",F,Manager,80931,160000,Annual
POLICE DEPARTMENT,Internal,6,Auto Body Worker,AUTO BODY WORKER,Competitive-1,Building Operations & Maintenance,F,Experienced (non-manager),50604,65339,Annual
DEPARTMENT OF CORRECTION,Internal,1,"Executive Assistant, Preparedness & Resilience",COMMUNITY COORDINATOR,Non-Competitive-5,Administration & Human Resources,F,Experienced (non-manager),54100,62215,Annual
NYC HOUSING AUTHORITY,Internal,1,SUPERVISOR OF HOUSING CARETAKER (HA),SUPERVISOR OF HOUSING CARETAKE,Competitive-1,Building Operations & Maintenance,F,Experienced (non-manager),39062,65449,Annual
HRA/DEPT OF SOCIAL SERVICES,Internal,1,RECRUITER,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,Administration & Human Resources Social Services,F,Experienced (non-manager),58695,89699,Annual
DEPT OF DESIGN & CONSTRUCTION,Internal,1,College Aide,COLLEGE AIDE (ALL CITY DEPTS),Non-Competitive-5,Building Operations & Maintenance,P,Student,15.5,16.02,Hourly
FIRE DEPARTMENT,Internal,1,Contract Voucher Associate,CLERICAL ASSOCIATE,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),40017,62820,Annual
DEPARTMENT OF SANITATION,External,1,ASSOCIATE PROJECT MANAGER,ASSOCIATE PROJECT MANAGER,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),74650,109409,Annual
CONSUMER AND WORKER PROTECTION,External,1,Inspector,INSPECTOR (CONSUMER AND WORKER,Competitive-1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),42507,48883,Annual
DEPARTMENT OF TRANSPORTATION,Internal,1,Director of Expense Budget,ADMINISTRATIVE STAFF ANALYST (,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),102292,163512,Annual
DEPARTMENT OF TRANSPORTATION,Internal,1,Information Security Engineer/Architect,IT SECURITY SPECIALIST,Non-Competitive-5,"Technology, Data & Innovation",F,Experienced (non-manager),75000,180000,Annual
DEPARTMENT OF CORRECTION,Internal,1,Chaplain (Jewish),CHAPLAIN,Non-Competitive-5,Constituent Services & Community Programs,F,Experienced (non-manager),51022,72537,Annual
DEPARTMENT OF CITY PLANNING,Internal,1,CHIEF INFORMATION OFFICER,COMPUTER SYSTEMS MANAGER,Competitive-1,"Technology, Data & Innovation",F,Manager,145000,160000,Annual
DEPT OF ENVIRONMENT PROTECTION,Internal,1,Asset Management Program Planner,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),85371,109990,Annual
DEPT OF DESIGN & CONSTRUCTION,External,1,IT Business Analyst,COMPUTER ASSOC (SOFTWARE),Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),76584,94244,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Asset Management Specialist,COMPUTER SERVICE TECHNICIAN (C,Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),39797,45766,Annual
POLICE DEPARTMENT,Internal,1,Senior Police Administrative Aide,SENIOR POLICE ADMINISTRATIVE A,Competitive-1,Administration & Human Resources,F,Experienced (non-manager),43929,57093,Annual
DEPARTMENT OF CITY PLANNING,External,1,PRODUCT MANAGEMENT TEAM LEAD,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),98901,113736,Annual
